id,nom,sexe,région,âge,culture
1,Aissatou Sarr,F,Dakar,65,arachide
2,Sidy Sow,M,Ziguinchor,25,manioc
3,Ibrahima Keita,M,Louga,29,igname
4,Seynabou Sow,F,Kolda,55,arachide
5,Aminata Fall,F,Saint-Louis,63,patate douce
6,Ibrahima Fofana,M,Louga,27,igname
7,Mamadou Faye Toure,M,Ziguinchor,41,mais
8,Mamadou Ndiaye Bamba,M,Diourbel,55,igname
9,Sidy Gassama,M,Mbour,23,sésame
10,Adama Diop,F,Sédhiou,50,manioc
11,Moussa Balde,M,Matam,23,haricot
12,Ndeye Diallo,F,Matam,59,mil
13,Mariama Diouf,F,Ziguinchor,58,coton
14,El Hadji Balde,M,Tambacounda,34,légumes
15,Khady Fall,F,Thiès,46,fruits
16,Cheikh Fall,M,Tivaouane,35,patate douce
17,Pape Keita,M,Matam,49,patate douce
18,Aissatou Balde,F,Dakar,28,mil
19,Bineta Diakhate,F,Mbour,63,légumes
20,Fatou Sarr,F,Sédhiou,57,mais
21,Mamadou Ndiaye Kouyaté,M,Matam,41,légumes
22,Adama Faye,F,Mbour,32,arachide
23,Rokhaya Gassama,F,Kolda,52,autres
24,Mamadou Boubacar Barry,M,Sédhiou,52,autres
25,Sidy Dabo,M,Sédhiou,21,autres
26,Mamadou Lamine Bamba,M,Dakar,22,fruits
27,Pape Camara,M,Ziguinchor,33,autres
28,Coumba Kane,F,Kaolack,39,mais
29,helene Sall,F,Fatick,52,légumes
30,Coumba Camara,F,Kolda,44,fruits
31,Seynabou Senghor,F,Mbour,27,riz
32,Seynabou Sow,F,Sédhiou,54,autres
33,Adama Thiam,F,Ziguinchor,38,légumes
34,Mamadou Lamine Gueye,M,Kaolack,22,coton
35,Ousmane Barry,M,Fatick,63,patate douce
36,Bineta Toure,F,Saint-Louis,59,fruits
37,Aminata Camara,F,Matam,32,patate douce
38,Rokhaya Faye,F,Ziguinchor,61,coton
39,El Hadji Ndoye,M,Louga,61,fruits
40,Coumba Fofana,F,Thiès,59,mais
41,Fatou Dieng,F,Sédhiou,44,manioc
42,Adama Sow,F,Mbour,59,mais
43,Maty Cissé,F,Thiès,38,arachide
44,Aissatou Cissé,F,Kaolack,40,autres
45,Mamadou Sy,M,Mbour,29,autres
46,Maty Sall,F,Dakar,27,autres
47,Pape Diallo,M,Kolda,46,coton
48,helene Dabo,F,Mbour,29,riz
49,Mamadou Faye Diouf,M,Matam,32,mais
50,Maty Thiam,F,Matam,19,sésame
51,Coumba Balde,F,Diourbel,64,haricot
52,helene Bamba,F,Louga,56,mil
53,Adama Ba,F,Mbour,33,mil
54,Rokhaya Diouf,F,Kaolack,33,autres
55,helene Barry,F,Dakar,39,autres
56,Modou Diouf,M,Kolda,52,arachide
57,Pape Gueye,M,Ziguinchor,49,haricot
58,Abdoulaye Diakhate,M,Kaolack,31,igname
59,Seynabou Keita,F,Kaolack,62,fruits
60,Mamadou Sow Traoré,M,Sédhiou,56,mil
61,Aminata Diouf,F,Sédhiou,33,riz
62,Seynabou Senghor,F,Ziguinchor,61,sésame
63,Maty Toure,F,Ziguinchor,56,autres
64,El Hadji Diagne,M,Sédhiou,51,mil
65,Pape Kane,M,Thiès,49,arachide
66,Moussa Ba,M,Saint-Louis,48,haricot
67,Adama Toure,F,Sédhiou,22,igname
68,Mamadou Boubacar Keita,M,Sédhiou,43,légumes
69,Mamadou Ndiaye Ndoye,M,Sédhiou,22,manioc
70,Rokhaya Cissé,F,Thiès,22,patate douce
71,Mamadou Faye Sow,M,Tambacounda,44,haricot
72,Mamadou Kane,M,Tambacounda,37,manioc
73,Ndeye Ndiaye,F,Saint-Louis,25,légumes
74,Khady Sow,F,Kolda,64,légumes
75,Sidy Toure,M,Ziguinchor,25,mais
76,Aminata Bamba,F,Kolda,41,riz
77,Seynabou Ndoye,F,Mbour,63,riz
78,Abdoulaye Fall,M,Ziguinchor,57,mil
79,Coumba Diagne,F,Ziguinchor,24,patate douce
80,Maty Cissé,F,Mbour,62,haricot
81,Khady Toure,F,Sédhiou,62,haricot
82,Rokhaya Fall,F,Dakar,27,légumes
83,Mamadou Lamine Kouyaté,M,Diourbel,21,légumes
84,Babacar Kane,M,Diourbel,59,mil
85,Modou Keita,M,Diourbel,30,arachide
86,Bineta Ndiaye,F,Sédhiou,24,haricot
87,Pape Sow,M,Matam,22,fruits
88,Aminata Diagne,F,Diourbel,20,sésame
89,Khady Balde,F,Dakar,43,manioc
90,Mamadou Cissé,M,Tambacounda,28,haricot
91,Aminata Sow,F,Tambacounda,23,mais
92,Ibrahima Traoré,M,Thiès,53,igname
93,Fatou Balde,F,Fatick,35,igname
94,Rokhaya Ba,F,Fatick,51,igname
95,Rokhaya Sarr,F,Sédhiou,25,haricot
96,Mariama Ndoye,F,Kolda,20,coton
97,Lamine Ndiaye,M,Diourbel,36,igname
98,Fatou Camara,F,Fatick,18,coton
99,Rokhaya Ndoye,F,Louga,44,sésame
100,Aminata Kouyaté,F,Sédhiou,34,patate douce
101,Bineta Diouf,F,Saint-Louis,38,mais
102,Ousmane Sow,M,Sédhiou,55,mais
103,Mamadou Boubacar Diakhate,M,Louga,62,igname
104,Coumba Gassama,F,Dakar,54,sésame
105,Pape Dieng,M,Fatick,53,mil
106,Mariama Gueye,F,Dakar,48,riz
107,Modou Sow,M,Sédhiou,57,sésame
108,Modou Sall,M,Tivaouane,26,haricot
109,Ndeye Cissé,F,Tambacounda,22,coton
110,Bineta Diallo,F,Diourbel,34,manioc
111,Seynabou Dieng,F,Kaolack,40,riz
112,Cheikh Senghor,M,Mbour,54,manioc
113,Coumba Diallo,F,Fatick,35,mais
114,Bineta Cissé,F,Saint-Louis,28,sésame
115,Mamadou Ndiaye Sow,M,Matam,29,sésame
116,Ndeye Fall,F,Ziguinchor,41,igname
117,Ousmane Sow,M,Matam,39,mais
118,Moussa Diallo,M,Saint-Louis,24,légumes
119,Modou Camara,M,Ziguinchor,32,autres
120,Babacar Barry,M,Kaolack,58,igname
121,Moussa Diakhate,M,Ziguinchor,44,arachide
122,Seynabou Diouf,F,Sédhiou,61,autres
123,Cheikh Sow,M,Fatick,49,haricot
124,Mariama Diallo,F,Kaolack,40,patate douce
125,Bineta Ndiaye,F,Louga,64,mais
126,Adama Fall,F,Fatick,36,haricot
127,Fatou Fofana,F,Saint-Louis,29,mil
128,Ndeye Dieng,F,Tambacounda,64,fruits
129,Seynabou Gassama,F,Ziguinchor,60,igname
130,Maty Faye,F,Ziguinchor,59,autres
131,Adama Sow,F,Thiès,33,coton
132,Modou Ba,M,Thiès,40,autres
133,Maty Camara,F,Tivaouane,44,autres
134,Bineta Thiam,F,Diourbel,36,sésame
135,Rokhaya Fall,F,Louga,39,sésame
136,Mamadou Ndiaye Sy,M,Mbour,28,autres
137,Ousmane Camara,M,Kaolack,60,légumes
138,Lamine Fofana,M,Louga,65,haricot
139,Mamadou Diop Koulibaly,M,Tambacounda,25,haricot
140,Mamadou Boubacar Ndiaye,M,Sédhiou,22,arachide
141,Ndeye Koulibaly,F,Kaolack,24,arachide
142,Maty Traoré,F,Kaolack,43,patate douce
143,helene Dieng,F,Tambacounda,51,fruits
144,Mamadou Boubacar Thiam,M,Saint-Louis,58,haricot
145,El Hadji Camara,M,Thiès,32,légumes
146,Fatou Diakhate,F,Dakar,20,riz
147,Mamadou Lamine Cissé,M,Sédhiou,54,sésame
148,Mamadou Diop Camara,M,Matam,30,haricot
149,Aminata Kane,F,Matam,32,riz
150,Rokhaya Diakhate,F,Fatick,30,mais
151,Pape Camara,M,Ziguinchor,18,igname
152,Adama Kane,F,Thiès,30,manioc
153,Mariama Diakhate,F,Dakar,29,riz
154,Maty Balde,F,Mbour,54,fruits
155,Lamine Gassama,M,Fatick,62,haricot
156,Mamadou Faye,M,Tivaouane,42,fruits
157,Mamadou Sarr Koulibaly,M,Diourbel,38,mais
158,Khady Fall,F,Ziguinchor,55,patate douce
159,Mariama Diallo,F,Louga,55,riz
160,Mamadou Boubacar Barry,M,Saint-Louis,64,haricot
161,El Hadji Senghor,M,Fatick,36,riz
162,Ibrahima Thiam,M,Dakar,47,sésame
163,Ousmane Keita,M,Dakar,21,manioc
164,Khady Camara,F,Tivaouane,46,mil
165,helene Ba,F,Ziguinchor,48,fruits
166,Abdoulaye Sarr,M,Louga,65,fruits
167,Coumba Sy,F,Tambacounda,33,légumes
168,Mamadou Ndiaye Sarr,M,Saint-Louis,64,sésame
169,Aminata Fofana,F,Mbour,52,mais
170,Maty Traoré,F,Kaolack,54,patate douce
